API;APR;AFR;AR;AE
com.google.gwt.storage.client;4;6;26;8
java.util.zip;6;6;42;9
java.lang;6;22;1074;59
android.hardware;1;1;1;1
android.support.v4.app;0;0;0;0
java.applet;0;0;0;0
org.jbox2d.collision;0;0;0;0
org.jbox2d.dynamics.contacts;0;0;0;0
org.jbox2d.particle;0;0;0;0
org.omg;0;0;0;0
android.service;1;1;3;3
java.util.concurrent;7;11;39;18
android.content;2;4;18;11
java.util.prefs;0;0;0;0
com.sun.jna;0;0;0;0
de.matthiasmann.twl;0;0;0;0
org.lwjgl;5;9;49;18
org.onepf.oms;0;0;0;0
org.robovm.apple;0;0;0;0
org.robovm.objc;2;2;9;2
org.robovm.rt;1;1;5;2
tv.ouya.console.api;0;0;0;0
android.text;1;1;1;1
java.text;0;0;0;0
javax.imageio;1;1;4;2
android.graphics;0;0;0;0
android.view;5;9;84;17
android.widget;2;2;14;12
com.esotericsoftware.tablelayout;0;0;0;0
com.google.gwt.animation.client;0;0;0;0
com.google.gwt.canvas;3;3;131;20
com.google.gwt.event;1;1;116;10
java.awt;9;19;110;29
javax.swing;5;7;25;10
sun.awt;0;0;0;0
java.io;0;0;0;0
java.nio;0;0;0;0
javax.print.attribute;0;0;0;0
org.apache.commons.io;0;0;0;0
sun.nio.cs;0;0;0;0
com.google.gwt.logging.client;2;2;5;3
sun.rmi.runtime;0;0;0;0
java.math;0;0;0;0
android.media;1;1;6;3
android.opengl;0;0;0;0
aurelienribon;0;0;0;0
com.google.gwt.media.client;0;0;0;0
com.sun.gluegen.runtime;0;0;0;0
com.sun.opengl;0;0;0;0
javax.media.opengl;0;0;0;0
javax.microedition.khronos;0;0;0;0
javax.sound.sampled;0;0;0;0
javazoom.jl.decoder;0;0;0;0
android.app;3;5;27;22
android.os;5;11;38;12
android.util;0;0;0;0
com.google.gwt.typedarrays;3;3;35;12
java.util;2;2;13;9
com.google.gwt.regexp.shared;0;0;0;0
com.sun.org.apache.xerces.internal.parsers;0;0;0;0
japa.parser;0;0;0;0
java.util.regex;0;0;0;0
org.json;0;0;0;0
org.junit;0;0;0;0
android.net;0;0;0;0
android.provider;0;0;0;0
com.amazon.inapp.purchasing;0;0;0;0
com.gargoylesoftware.htmlunit.javascript.host;2;2;49;17
com.google.gwt.core;6;11;68;19
com.google.gwt.http.client;4;4;30;15
com.google.gwt.i18n.client;0;0;0;0
com.google.gwt.user;4;6;107;42
com.google.gwt.xhr;0;0;0;0
com.jcraft;0;0;0;0
java.net;6;6;11;6
java.security;1;1;2;1
javax.crypto;0;0;0;0
org.apache.http;0;0;0;0
com.google.gwt.dom;6;9;198;37
com.sun.org.apache.xalan.internal.xsltc;0;0;0;0
javax.xml;1;1;4;2
org.w3c.dom;1;1;4;2
org.xml.sax;0;0;0;0
