API;APR;AFR;AR;AE
com.google.gwt.storage.client;0;0;0;0
java.util.zip;4;4;44;11
java.lang;12;29;666;89
android.hardware;4;5;64;16
android.support.v4.app;0;0;0;0
java.applet;0;0;0;0
org.jbox2d.collision;0;0;0;0
org.jbox2d.dynamics.contacts;0;0;0;0
org.jbox2d.particle;0;0;0;0
org.omg;0;0;0;0
android.service;6;11;248;21
java.util.concurrent;7;7;30;13
android.content;7;29;413;48
java.util.prefs;0;0;0;0
com.sun.jna;0;0;0;0
de.matthiasmann.twl;0;0;0;0
org.lwjgl;3;14;614;96
org.onepf.oms;0;0;0;0
org.robovm.apple;2;3;46;3
org.robovm.objc;0;0;0;0
org.robovm.rt;1;2;6;2
tv.ouya.console.api;0;0;0;0
android.text;1;1;1;1
java.text;0;0;0;0
javax.imageio;6;7;148;19
android.graphics;3;5;151;10
android.view;11;36;1022;95
android.widget;3;11;252;39
com.esotericsoftware.tablelayout;6;9;75;16
com.google.gwt.animation.client;0;0;0;0
com.google.gwt.canvas;3;4;32;7
com.google.gwt.event;3;4;24;8
java.awt;19;37;658;121
javax.swing;14;23;496;141
sun.awt;0;0;0;0
java.io;0;0;0;0
java.nio;0;0;0;0
javax.print.attribute;0;0;0;0
org.apache.commons.io;0;0;0;0
sun.nio.cs;0;0;0;0
com.google.gwt.logging.client;1;1;2;1
sun.rmi.runtime;0;0;0;0
java.math;1;1;4;1
android.media;2;5;57;6
android.opengl;4;16;2014;133
aurelienribon;1;1;2;1
com.google.gwt.media.client;0;0;0;0
com.sun.gluegen.runtime;0;0;0;0
com.sun.opengl;0;0;0;0
javax.media.opengl;0;0;0;0
javax.microedition.khronos;4;14;852;29
javax.sound.sampled;0;0;0;0
javazoom.jl.decoder;0;0;0;0
android.app;7;23;494;46
android.os;8;21;224;35
android.util;8;20;639;25
com.google.gwt.typedarrays;0;0;0;0
java.util;2;2;38;6
com.google.gwt.regexp.shared;2;4;16;5
com.sun.org.apache.xerces.internal.parsers;0;0;0;0
japa.parser;0;0;0;0
java.util.regex;0;0;0;0
org.json;0;0;0;0
org.junit;0;0;0;0
android.net;2;2;8;3
android.provider;0;0;0;0
com.amazon.inapp.purchasing;0;0;0;0
com.gargoylesoftware.htmlunit.javascript.host;1;1;14;3
com.google.gwt.core;14;31;188;21
com.google.gwt.http.client;3;3;18;11
com.google.gwt.i18n.client;0;0;0;0
com.google.gwt.user;8;16;286;59
com.google.gwt.xhr;1;1;4;2
com.jcraft;0;0;0;0
java.net;1;1;8;1
java.security;1;1;4;1
javax.crypto;0;0;0;0
org.apache.http;0;0;0;0
com.google.gwt.dom;6;10;74;20
com.sun.org.apache.xalan.internal.xsltc;0;0;0;0
javax.xml;3;3;22;6
org.w3c.dom;1;1;2;1
org.xml.sax;0;0;0;0
