API;APR;AFR;AR;AE
com.google.gwt.storage.client;0;0;0;0
java.util.zip;1;1;10;4
java.lang;5;5;85;30
android.hardware;1;1;1;1
android.support.v4.app;0;0;0;0
java.applet;0;0;0;0
org.jbox2d.collision;0;0;0;0
org.jbox2d.dynamics.contacts;0;0;0;0
org.jbox2d.particle;0;0;0;0
org.omg;0;0;0;0
android.service;1;1;1;1
java.util.concurrent;1;1;22;4
android.content;4;6;27;9
java.util.prefs;0;0;0;0
com.sun.jna;0;0;0;0
de.matthiasmann.twl;0;0;0;0
org.lwjgl;2;7;86;20
org.onepf.oms;0;0;0;0
org.robovm.apple;2;2;12;2
org.robovm.objc;0;0;0;0
org.robovm.rt;0;0;0;0
tv.ouya.console.api;0;0;0;0
android.text;0;0;0;0
java.text;0;0;0;0
javax.imageio;4;4;118;23
android.graphics;0;0;0;0
android.view;3;7;28;18
android.widget;2;2;13;13
com.esotericsoftware.tablelayout;1;1;3;1
com.google.gwt.animation.client;0;0;0;0
com.google.gwt.canvas;0;0;0;0
com.google.gwt.event;0;0;0;0
java.awt;14;23;345;73
javax.swing;9;14;197;60
sun.awt;0;0;0;0
java.io;0;0;0;0
java.nio;0;0;0;0
javax.print.attribute;0;0;0;0
org.apache.commons.io;0;0;0;0
sun.nio.cs;0;0;0;0
com.google.gwt.logging.client;0;0;0;0
sun.rmi.runtime;0;0;0;0
java.math;0;0;0;0
android.media;2;3;8;6
android.opengl;0;0;0;0
aurelienribon;0;0;0;0
com.google.gwt.media.client;0;0;0;0
com.sun.gluegen.runtime;0;0;0;0
com.sun.opengl;0;0;0;0
javax.media.opengl;0;0;0;0
javax.microedition.khronos;0;0;0;0
javax.sound.sampled;0;0;0;0
javazoom.jl.decoder;0;0;0;0
android.app;4;6;24;8
android.os;2;3;9;6
android.util;2;3;5;3
com.google.gwt.typedarrays;0;0;0;0
java.util;0;0;0;0
com.google.gwt.regexp.shared;0;0;0;0
com.sun.org.apache.xerces.internal.parsers;0;0;0;0
japa.parser;0;0;0;0
java.util.regex;0;0;0;0
org.json;0;0;0;0
org.junit;0;0;0;0
android.net;0;0;0;0
android.provider;0;0;0;0
com.amazon.inapp.purchasing;0;0;0;0
com.gargoylesoftware.htmlunit.javascript.host;0;0;0;0
com.google.gwt.core;2;2;2;2
com.google.gwt.http.client;2;2;13;8
com.google.gwt.i18n.client;0;0;0;0
com.google.gwt.user;2;2;18;10
com.google.gwt.xhr;0;0;0;0
com.jcraft;0;0;0;0
java.net;2;4;35;18
java.security;0;0;0;0
javax.crypto;0;0;0;0
org.apache.http;0;0;0;0
com.google.gwt.dom;0;0;0;0
com.sun.org.apache.xalan.internal.xsltc;0;0;0;0
javax.xml;1;1;8;5
org.w3c.dom;2;2;12;8
org.xml.sax;1;1;2;1
