API;APR;AFR;AR;AE
com.google.gwt.storage.client;0;0;0;0
java.util.zip;2;3;74;8
java.lang;13;21;968;58
android.hardware;0;0;0;0
android.support.v4.app;0;0;0;0
java.applet;0;0;0;0
org.jbox2d.collision;0;0;0;0
org.jbox2d.dynamics.contacts;0;0;0;0
org.jbox2d.particle;0;0;0;0
org.omg;0;0;0;0
android.service;2;2;35;10
java.util.concurrent;3;3;18;9
android.content;2;3;16;3
java.util.prefs;0;0;0;0
com.sun.jna;0;0;0;0
de.matthiasmann.twl;1;1;3;2
org.lwjgl;8;17;424;48
org.onepf.oms;0;0;0;0
org.robovm.apple;0;0;0;0
org.robovm.objc;0;0;0;0
org.robovm.rt;0;0;0;0
tv.ouya.console.api;0;0;0;0
android.text;1;1;4;1
java.text;0;0;0;0
javax.imageio;5;10;304;27
android.graphics;0;0;0;0
android.view;3;3;30;8
android.widget;0;0;0;0
com.esotericsoftware.tablelayout;6;15;713;51
com.google.gwt.animation.client;0;0;0;0
com.google.gwt.canvas;0;0;0;0
com.google.gwt.event;0;0;0;0
java.awt;17;47;1546;144
javax.swing;14;21;523;101
sun.awt;0;0;0;0
java.io;0;0;0;0
java.nio;0;0;0;0
javax.print.attribute;0;0;0;0
org.apache.commons.io;0;0;0;0
sun.nio.cs;0;0;0;0
com.google.gwt.logging.client;0;0;0;0
sun.rmi.runtime;0;0;0;0
java.math;5;5;41;5
android.media;1;1;4;4
android.opengl;4;6;47;8
aurelienribon;0;0;0;0
com.google.gwt.media.client;0;0;0;0
com.sun.gluegen.runtime;0;0;0;0
com.sun.opengl;0;0;0;0
javax.media.opengl;0;0;0;0
javax.microedition.khronos;2;6;64;7
javax.sound.sampled;0;0;0;0
javazoom.jl.decoder;0;0;0;0
android.app;1;1;8;1
android.os;1;1;2;1
android.util;2;3;37;3
com.google.gwt.typedarrays;0;0;0;0
java.util;1;1;10;5
com.google.gwt.regexp.shared;0;0;0;0
com.sun.org.apache.xerces.internal.parsers;0;0;0;0
japa.parser;0;0;0;0
java.util.regex;0;0;0;0
org.json;0;0;0;0
org.junit;0;0;0;0
android.net;0;0;0;0
android.provider;0;0;0;0
com.amazon.inapp.purchasing;0;0;0;0
com.gargoylesoftware.htmlunit.javascript.host;0;0;0;0
com.google.gwt.core;0;0;0;0
com.google.gwt.http.client;0;0;0;0
com.google.gwt.i18n.client;0;0;0;0
com.google.gwt.user;0;0;0;0
com.google.gwt.xhr;0;0;0;0
com.jcraft;0;0;0;0
java.net;0;0;0;0
java.security;0;0;0;0
javax.crypto;0;0;0;0
org.apache.http;0;0;0;0
com.google.gwt.dom;0;0;0;0
com.sun.org.apache.xalan.internal.xsltc;0;0;0;0
javax.xml;2;2;4;2
org.w3c.dom;0;0;0;0
org.xml.sax;0;0;0;0
