DOMAIN;REFS
Archiving;com.google.gwt.storage.client;java.util.zip
Basics;java.lang
Component;android.hardware;android.support.v4.app;java.applet;org.jbox2d.collision;org.jbox2d.dynamics.contacts;org.jbox2d.particle;org.omg
Concurrency;android.service;java.util.concurrent
Configuration;android.content;java.util.prefs
CrossPlatform;com.sun.jna;de.matthiasmann.twl;org.lwjgl;org.onepf.oms;org.robovm.apple;org.robovm.objc;org.robovm.rt;tv.ouya.console.api
Format;android.text;java.text;javax.imageio
GUI;android.graphics;android.view;android.widget;com.esotericsoftware.tablelayout;com.google.gwt.animation.client;com.google.gwt.canvas;com.google.gwt.event;java.awt;javax.swing;sun.awt
IO;java.io;java.nio;javax.print.attribute;org.apache.commons.io;sun.nio.cs
Logging;com.google.gwt.logging.client;sun.rmi.runtime
Math;java.math
Media;android.media;android.opengl;aurelienribon;com.google.gwt.media.client;com.sun.gluegen.runtime;com.sun.opengl;javax.media.opengl;javax.microedition.khronos;javax.sound.sampled;javazoom.jl.decoder
Meta;android.app;android.os;android.util;com.google.gwt.typedarrays;java.util
Parsing;com.google.gwt.regexp.shared;com.sun.org.apache.xerces.internal.parsers;japa.parser;java.util.regex;org.json
Testing;org.junit
Web;android.net;android.provider;com.amazon.inapp.purchasing;com.gargoylesoftware.htmlunit.javascript.host;com.google.gwt.core;com.google.gwt.http.client;com.google.gwt.i18n.client;com.google.gwt.user;com.google.gwt.xhr;com.jcraft;java.net;java.security;javax.crypto;org.apache.http
XML;com.google.gwt.dom;com.sun.org.apache.xalan.internal.xsltc;javax.xml;org.w3c.dom;org.xml.sax


Domain;DRefs
Archiving;605
Basics;8521
Component;536
Concurrency;1498
Configuration;2352
CrossPlatform;8587
Format;2189
GUI;27822
IO;13524
Logging;25
Math;69
Media;18709
Meta;18528
Parsing;240
Testing;7
Web;5149
XML;2377



API;ARefs
com.google.gwt.storage.client;26
java.util.zip;579
java.lang;8521
android.hardware;482
android.support.v4.app;0
java.applet;49
org.jbox2d.collision;0
org.jbox2d.dynamics.contacts;0
org.jbox2d.particle;0
org.omg;5
android.service;542
java.util.concurrent;956
android.content;2328
java.util.prefs;24
com.sun.jna;5
de.matthiasmann.twl;1102
org.lwjgl;7040
org.onepf.oms;92
org.robovm.apple;205
org.robovm.objc;49
org.robovm.rt;94
tv.ouya.console.api;0
android.text;69
java.text;18
javax.imageio;2102
android.graphics;1845
android.view;5192
android.widget;2151
com.esotericsoftware.tablelayout;1606
com.google.gwt.animation.client;0
com.google.gwt.canvas;591
com.google.gwt.event;303
java.awt;10862
javax.swing;5247
sun.awt;25
java.io;7924
java.nio;5525
javax.print.attribute;51
org.apache.commons.io;24
sun.nio.cs;0
com.google.gwt.logging.client;25
sun.rmi.runtime;0
java.math;69
android.media;653
android.opengl;8676
aurelienribon;14
com.google.gwt.media.client;33
com.sun.gluegen.runtime;1
com.sun.opengl;379
javax.media.opengl;1362
javax.microedition.khronos;7111
javax.sound.sampled;426
javazoom.jl.decoder;54
android.app;2304
android.os;1314
android.util;3016
com.google.gwt.typedarrays;80
java.util;11814
com.google.gwt.regexp.shared;48
com.sun.org.apache.xerces.internal.parsers;2
japa.parser;55
java.util.regex;123
org.json;12
org.junit;7
android.net;106
android.provider;18
com.amazon.inapp.purchasing;20
com.gargoylesoftware.htmlunit.javascript.host;118
com.google.gwt.core;1112
com.google.gwt.http.client;88
com.google.gwt.i18n.client;11
com.google.gwt.user;2097
com.google.gwt.xhr;37
com.jcraft;46
java.net;678
java.security;436
javax.crypto;8
org.apache.http;374
com.google.gwt.dom;1204
com.sun.org.apache.xalan.internal.xsltc;0
javax.xml;683
org.w3c.dom;309
org.xml.sax;181
