API;APR;AFR;AR;AE
com.google.gwt.storage.client;0;0;0;0
java.util.zip;1;1;15;6
java.lang;9;12;119;31
android.hardware;1;1;8;1
android.support.v4.app;0;0;0;0
java.applet;0;0;0;0
org.jbox2d.collision;0;0;0;0
org.jbox2d.dynamics.contacts;0;0;0;0
org.jbox2d.particle;0;0;0;0
org.omg;0;0;0;0
android.service;0;0;0;0
java.util.concurrent;2;2;10;3
android.content;1;1;1;1
java.util.prefs;0;0;0;0
com.sun.jna;0;0;0;0
de.matthiasmann.twl;0;0;0;0
org.lwjgl;2;7;373;36
org.onepf.oms;0;0;0;0
org.robovm.apple;2;2;12;2
org.robovm.objc;0;0;0;0
org.robovm.rt;0;0;0;0
tv.ouya.console.api;0;0;0;0
android.text;0;0;0;0
java.text;0;0;0;0
javax.imageio;3;3;7;7
android.graphics;0;0;0;0
android.view;2;3;5;3
android.widget;1;1;3;2
com.esotericsoftware.tablelayout;0;0;0;0
com.google.gwt.animation.client;0;0;0;0
com.google.gwt.canvas;0;0;0;0
com.google.gwt.event;0;0;0;0
java.awt;6;8;88;21
javax.swing;5;6;21;12
sun.awt;0;0;0;0
java.io;0;0;0;0
java.nio;0;0;0;0
javax.print.attribute;2;2;50;3
org.apache.commons.io;0;0;0;0
sun.nio.cs;0;0;0;0
com.google.gwt.logging.client;0;0;0;0
sun.rmi.runtime;0;0;0;0
java.math;0;0;0;0
android.media;0;0;0;0
android.opengl;2;2;16;5
aurelienribon;0;0;0;0
com.google.gwt.media.client;0;0;0;0
com.sun.gluegen.runtime;0;0;0;0
com.sun.opengl;0;0;0;0
javax.media.opengl;0;0;0;0
javax.microedition.khronos;1;1;20;5
javax.sound.sampled;0;0;0;0
javazoom.jl.decoder;0;0;0;0
android.app;1;1;3;2
android.os;0;0;0;0
android.util;0;0;0;0
com.google.gwt.typedarrays;1;1;16;1
java.util;2;2;21;7
com.google.gwt.regexp.shared;0;0;0;0
com.sun.org.apache.xerces.internal.parsers;0;0;0;0
japa.parser;0;0;0;0
java.util.regex;0;0;0;0
org.json;0;0;0;0
org.junit;0;0;0;0
android.net;0;0;0;0
android.provider;0;0;0;0
com.amazon.inapp.purchasing;0;0;0;0
com.gargoylesoftware.htmlunit.javascript.host;0;0;0;0
com.google.gwt.core;4;4;61;5
com.google.gwt.http.client;0;0;0;0
com.google.gwt.i18n.client;0;0;0;0
com.google.gwt.user;2;2;19;5
com.google.gwt.xhr;0;0;0;0
com.jcraft;0;0;0;0
java.net;1;1;3;2
java.security;0;0;0;0
javax.crypto;0;0;0;0
org.apache.http;0;0;0;0
com.google.gwt.dom;0;0;0;0
com.sun.org.apache.xalan.internal.xsltc;0;0;0;0
javax.xml;0;0;0;0
org.w3c.dom;0;0;0;0
org.xml.sax;0;0;0;0
