API;APR;AFR;AR;AE
com.google.gwt.storage.client;0;0;0;0
java.util.zip;0;0;0;0
java.lang;9;24;453;68
android.hardware;1;1;8;1
android.support.v4.app;0;0;0;0
java.applet;0;0;0;0
org.jbox2d.collision;0;0;0;0
org.jbox2d.dynamics.contacts;0;0;0;0
org.jbox2d.particle;0;0;0;0
org.omg;0;0;0;0
android.service;2;4;14;4
java.util.concurrent;6;10;53;17
android.content;2;8;59;12
java.util.prefs;0;0;0;0
com.sun.jna;0;0;0;0
de.matthiasmann.twl;0;0;0;0
org.lwjgl;4;12;599;85
org.onepf.oms;0;0;0;0
org.robovm.apple;2;3;36;2
org.robovm.objc;4;7;21;3
org.robovm.rt;2;6;18;5
tv.ouya.console.api;0;0;0;0
android.text;0;0;0;0
java.text;0;0;0;0
javax.imageio;2;2;52;6
android.graphics;0;0;0;0
android.view;2;13;175;27
android.widget;1;1;6;3
com.esotericsoftware.tablelayout;0;0;0;0
com.google.gwt.animation.client;0;0;0;0
com.google.gwt.canvas;0;0;0;0
com.google.gwt.event;0;0;0;0
java.awt;10;16;217;40
javax.swing;8;10;332;53
sun.awt;0;0;0;0
java.io;0;0;0;0
java.nio;0;0;0;0
javax.print.attribute;0;0;0;0
org.apache.commons.io;3;5;24;8
sun.nio.cs;0;0;0;0
com.google.gwt.logging.client;0;0;0;0
sun.rmi.runtime;0;0;0;0
java.math;0;0;0;0
android.media;0;0;0;0
android.opengl;2;10;1420;98
aurelienribon;1;1;12;2
com.google.gwt.media.client;0;0;0;0
com.sun.gluegen.runtime;0;0;0;0
com.sun.opengl;0;0;0;0
javax.media.opengl;0;0;0;0
javax.microedition.khronos;3;11;263;16
javax.sound.sampled;0;0;0;0
javazoom.jl.decoder;0;0;0;0
android.app;2;4;18;5
android.os;2;6;25;7
android.util;2;7;81;12
com.google.gwt.typedarrays;0;0;0;0
java.util;0;0;0;0
com.google.gwt.regexp.shared;0;0;0;0
com.sun.org.apache.xerces.internal.parsers;0;0;0;0
japa.parser;0;0;0;0
java.util.regex;0;0;0;0
org.json;0;0;0;0
org.junit;0;0;0;0
android.net;0;0;0;0
android.provider;0;0;0;0
com.amazon.inapp.purchasing;0;0;0;0
com.gargoylesoftware.htmlunit.javascript.host;0;0;0;0
com.google.gwt.core;2;3;32;5
com.google.gwt.http.client;2;2;8;3
com.google.gwt.i18n.client;0;0;0;0
com.google.gwt.user;3;3;16;5
com.google.gwt.xhr;0;0;0;0
com.jcraft;0;0;0;0
java.net;1;1;1;1
java.security;0;0;0;0
javax.crypto;0;0;0;0
org.apache.http;1;1;1;1
com.google.gwt.dom;1;1;1;1
com.sun.org.apache.xalan.internal.xsltc;0;0;0;0
javax.xml;1;1;2;1
org.w3c.dom;1;1;2;1
org.xml.sax;0;0;0;0
