API;APR;AFR;AR;AE
com.google.gwt.storage.client;0;0;0;0
java.util.zip;11;13;120;26
java.lang;17;19;1135;107
android.hardware;8;10;291;25
android.support.v4.app;0;0;0;0
java.applet;6;7;27;11
org.jbox2d.collision;0;0;0;0
org.jbox2d.dynamics.contacts;0;0;0;0
org.jbox2d.particle;0;0;0;0
org.omg;1;1;5;2
android.service;0;0;0;0
java.util.concurrent;13;17;308;40
android.content;17;43;572;72
java.util.prefs;1;2;5;5
com.sun.jna;1;5;5;1
de.matthiasmann.twl;4;4;15;8
org.lwjgl;14;49;1318;128
org.onepf.oms;0;0;0;0
org.robovm.apple;0;0;0;0
org.robovm.objc;0;0;0;0
org.robovm.rt;0;0;0;0
tv.ouya.console.api;0;0;0;0
android.text;3;3;52;13
java.text;0;0;0;0
javax.imageio;25;33;322;30
android.graphics;18;48;1158;73
android.view;19;50;1328;108
android.widget;13;24;765;76
com.esotericsoftware.tablelayout;3;3;26;16
com.google.gwt.animation.client;0;0;0;0
com.google.gwt.canvas;6;8;168;44
com.google.gwt.event;6;7;75;26
java.awt;47;132;2889;236
javax.swing;32;59;1136;175
sun.awt;0;0;0;0
java.io;123;258;3516;98
java.nio;76;181;3846;66
javax.print.attribute;1;1;1;1
org.apache.commons.io;0;0;0;0
sun.nio.cs;0;0;0;0
com.google.gwt.logging.client;0;0;0;0
sun.rmi.runtime;0;0;0;0
java.math;0;0;0;0
android.media;8;21;306;65
android.opengl;16;29;1161;105
aurelienribon;0;0;0;0
com.google.gwt.media.client;2;2;33;16
com.sun.gluegen.runtime;1;1;1;1
com.sun.opengl;10;20;341;49
javax.media.opengl;15;45;1226;221
javax.microedition.khronos;16;39;2042;207
javax.sound.sampled;15;28;223;42
javazoom.jl.decoder;2;2;6;5
android.app;12;32;725;82
android.os;14;29;430;52
android.util;21;42;696;33
com.google.gwt.typedarrays;0;0;0;0
java.util;139;331;6622;138
com.google.gwt.regexp.shared;0;0;0;0
com.sun.org.apache.xerces.internal.parsers;0;0;0;0
japa.parser;3;3;55;28
java.util.regex;2;2;29;8
org.json;0;0;0;0
org.junit;0;0;0;0
android.net;0;0;0;0
android.provider;0;0;0;0
com.amazon.inapp.purchasing;0;0;0;0
com.gargoylesoftware.htmlunit.javascript.host;0;0;0;0
com.google.gwt.core;9;23;158;26
com.google.gwt.http.client;0;0;0;0
com.google.gwt.i18n.client;0;0;0;0
com.google.gwt.user;8;18;484;95
com.google.gwt.xhr;2;2;10;9
com.jcraft;0;0;0;0
java.net;6;8;50;30
java.security;0;0;0;0
javax.crypto;1;1;1;1
org.apache.http;0;0;0;0
com.google.gwt.dom;9;22;293;79
com.sun.org.apache.xalan.internal.xsltc;0;0;0;0
javax.xml;5;17;36;6
org.w3c.dom;0;0;0;0
org.xml.sax;1;1;2;1
