API;APR;AFR;AR;AE
com.google.gwt.storage.client;0;0;0;0
java.util.zip;0;0;0;0
java.lang;7;19;840;73
android.hardware;0;0;0;0
android.support.v4.app;0;0;0;0
java.applet;0;0;0;0
org.jbox2d.collision;0;0;0;0
org.jbox2d.dynamics.contacts;0;0;0;0
org.jbox2d.particle;0;0;0;0
org.omg;0;0;0;0
android.service;2;2;11;6
java.util.concurrent;2;2;40;17
android.content;4;17;496;33
java.util.prefs;0;0;0;0
com.sun.jna;0;0;0;0
de.matthiasmann.twl;0;0;0;0
org.lwjgl;2;6;472;57
org.onepf.oms;0;0;0;0
org.robovm.apple;0;0;0;0
org.robovm.objc;0;0;0;0
org.robovm.rt;0;0;0;0
tv.ouya.console.api;0;0;0;0
android.text;0;0;0;0
java.text;4;4;18;4
javax.imageio;0;0;0;0
android.graphics;3;8;214;10
android.view;4;18;1197;64
android.widget;3;5;270;29
com.esotericsoftware.tablelayout;0;0;0;0
com.google.gwt.animation.client;0;0;0;0
com.google.gwt.canvas;2;2;28;8
com.google.gwt.event;0;0;0;0
java.awt;4;8;458;49
javax.swing;0;0;0;0
sun.awt;0;0;0;0
java.io;0;0;0;0
java.nio;0;0;0;0
javax.print.attribute;0;0;0;0
org.apache.commons.io;0;0;0;0
sun.nio.cs;0;0;0;0
com.google.gwt.logging.client;0;0;0;0
sun.rmi.runtime;0;0;0;0
java.math;0;0;0;0
android.media;1;1;4;1
android.opengl;4;18;2185;65
aurelienribon;0;0;0;0
com.google.gwt.media.client;0;0;0;0
com.sun.gluegen.runtime;0;0;0;0
com.sun.opengl;0;0;0;0
javax.media.opengl;0;0;0;0
javax.microedition.khronos;4;9;1564;30
javax.sound.sampled;0;0;0;0
javazoom.jl.decoder;0;0;0;0
android.app;2;8;124;22
android.os;4;10;100;17
android.util;4;15;818;27
com.google.gwt.typedarrays;0;0;0;0
java.util;0;0;0;0
com.google.gwt.regexp.shared;0;0;0;0
com.sun.org.apache.xerces.internal.parsers;0;0;0;0
japa.parser;0;0;0;0
java.util.regex;0;0;0;0
org.json;0;0;0;0
org.junit;0;0;0;0
android.net;2;2;8;3
android.provider;0;0;0;0
com.amazon.inapp.purchasing;0;0;0;0
com.gargoylesoftware.htmlunit.javascript.host;0;0;0;0
com.google.gwt.core;1;1;2;1
com.google.gwt.http.client;0;0;0;0
com.google.gwt.i18n.client;2;2;11;3
com.google.gwt.user;2;3;26;9
com.google.gwt.xhr;0;0;0;0
com.jcraft;0;0;0;0
java.net;0;0;0;0
java.security;0;0;0;0
javax.crypto;0;0;0;0
org.apache.http;0;0;0;0
com.google.gwt.dom;2;3;28;8
com.sun.org.apache.xalan.internal.xsltc;0;0;0;0
javax.xml;0;0;0;0
org.w3c.dom;0;0;0;0
org.xml.sax;0;0;0;0
