API;APR;AFR;AR;AE
com.google.gwt.storage.client;0;0;0;0
java.util.zip;9;9;104;21
java.lang;10;12;1366;84
android.hardware;2;2;68;14
android.support.v4.app;0;0;0;0
java.applet;4;4;22;9
org.jbox2d.collision;0;0;0;0
org.jbox2d.dynamics.contacts;0;0;0;0
org.jbox2d.particle;0;0;0;0
org.omg;0;0;0;0
android.service;0;0;0;0
java.util.concurrent;8;8;74;18
android.content;6;17;288;47
java.util.prefs;1;1;5;4
com.sun.jna;0;0;0;0
de.matthiasmann.twl;6;20;1084;122
org.lwjgl;13;52;2559;261
org.onepf.oms;0;0;0;0
org.robovm.apple;0;0;0;0
org.robovm.objc;0;0;0;0
org.robovm.rt;0;0;0;0
tv.ouya.console.api;0;0;0;0
android.text;0;0;0;0
java.text;0;0;0;0
javax.imageio;13;19;736;36
android.graphics;5;11;237;46
android.view;6;18;473;65
android.widget;3;3;75;24
com.esotericsoftware.tablelayout;9;20;702;65
com.google.gwt.animation.client;0;0;0;0
com.google.gwt.canvas;0;0;0;0
com.google.gwt.event;0;0;0;0
java.awt;30;86;2539;208
javax.swing;21;47;1122;178
sun.awt;0;0;0;0
java.io;52;142;3473;80
java.nio;25;65;1598;59
javax.print.attribute;0;0;0;0
org.apache.commons.io;0;0;0;0
sun.nio.cs;0;0;0;0
com.google.gwt.logging.client;0;0;0;0
sun.rmi.runtime;0;0;0;0
java.math;6;6;15;3
android.media;2;10;150;30
android.opengl;4;12;621;64
aurelienribon;0;0;0;0
com.google.gwt.media.client;0;0;0;0
com.sun.gluegen.runtime;0;0;0;0
com.sun.opengl;2;5;38;16
javax.media.opengl;2;10;136;33
javax.microedition.khronos;4;16;1704;175
javax.sound.sampled;8;22;203;34
javazoom.jl.decoder;4;4;48;11
android.app;3;10;221;48
android.os;3;8;127;23
android.util;4;10;173;24
com.google.gwt.typedarrays;0;0;0;0
java.util;49;147;3388;137
com.google.gwt.regexp.shared;0;0;0;0
com.sun.org.apache.xerces.internal.parsers;0;0;0;0
japa.parser;0;0;0;0
java.util.regex;6;8;94;9
org.json;0;0;0;0
org.junit;0;0;0;0
android.net;0;0;0;0
android.provider;0;0;0;0
com.amazon.inapp.purchasing;0;0;0;0
com.gargoylesoftware.htmlunit.javascript.host;0;0;0;0
com.google.gwt.core;0;0;0;0
com.google.gwt.http.client;0;0;0;0
com.google.gwt.i18n.client;0;0;0;0
com.google.gwt.user;0;0;0;0
com.google.gwt.xhr;0;0;0;0
com.jcraft;4;4;46;8
java.net;6;10;79;16
java.security;5;5;410;26
javax.crypto;0;0;0;0
org.apache.http;0;0;0;0
com.google.gwt.dom;0;0;0;0
com.sun.org.apache.xalan.internal.xsltc;0;0;0;0
javax.xml;5;5;18;11
org.w3c.dom;0;0;0;0
org.xml.sax;2;2;6;2
